nameWithOwner;url;stars;age;releases;pullRequests;primaryLanguage;cbo;dit;lcom;loc
hyb1996/Auto.js;https://github.com/hyb1996/Auto.js;10455;4.6;0;42;Java;5.8113413304253;1.5823336968375137;303.65546988800014;48388
google/guice;https://github.com/google/guice;10417;7.3;14;414;Java;3.9375840731772933;1.2862523540489643;289.0488496970004;79902
ben-manes/caffeine;https://github.com/ben-manes/caffeine;10406;6.7;55;105;Java;4.685294117647059;1.6549019607843136;217.06239228800004;58440
heibaiying/BigData-Notes;https://github.com/heibaiying/BigData-Notes;10402;2.5;0;21;Java;5.641025641025641;1.205128205128205;12.941666839999998;2124
lipangit/JiaoZiVideoPlayer;https://github.com/lipangit/JiaoZiVideoPlayer;10387;5.6;78;72;Java;7.171428571428572;2.085714285714286;22.889225170000003;4511
H07000223/FlycoTabLayout;https://github.com/H07000223/FlycoTabLayout;10387;5.8;4;22;Java;6.264705882352941;1.5;7.84142458;2730
jeasonlzy/okhttp-OkGo;https://github.com/jeasonlzy/okhttp-OkGo;10373;5.7;14;19;Java;5.588397790055248;1.6187845303867403;66.50219531;13418
java-decompiler/jd-gui;https://github.com/java-decompiler/jd-gui;10359;6.5;18;52;Java;4.526960784313726;2.411764705882353;98.50593458199992;19309
seaswalker/spring-analysis;https://github.com/seaswalker/spring-analysis;10339;5.0;0;12;Java;2.3529411764705883;1.2058823529411764;3.13333337;378
lingochamp/FileDownloader;https://github.com/lingochamp/FileDownloader;10293;5.7;65;66;Java;4.511111111111111;1.6814814814814816;67.78916635;14387
tbruyelle/RxPermissions;https://github.com/tbruyelle/RxPermissions;10232;5.9;11;75;Java;4.428571428571429;1.0476190476190477;3.65189995;876
JakeWharton/ViewPagerIndicator;https://github.com/JakeWharton/ViewPagerIndicator;10232;10.1;0;149;Java;5.358208955223881;2.208955223880597;13.901446459999999;2947
codecentric/spring-boot-admin;https://github.com/codecentric/spring-boot-admin;10185;7.1;59;432;Java;7.401408450704225;1.3051643192488263;96.38912778999993;12388
redis/jedis;https://github.com/redis/jedis;10037;11.2;49;1177;Java;3.5530973451327434;1.2013274336283186;99.90168074999998;41215
code4craft/webmagic;https://github.com/code4craft/webmagic;10019;8.4;20;172;Java;4.563517915309446;1.1661237785016287;74.16957453999999;8535
keycloak/keycloak;https://github.com/keycloak/keycloak;9963;8.2;11;8422;Java;8.030644548562746;1.7799164239584653;2683.1457236790066;437364
mission-peace/interview;https://github.com/mission-peace/interview;9938;7.1;0;226;Java;2.0119760479041915;1.035928143712575;40.59530261000002;27259
apache/zookeeper;https://github.com/apache/zookeeper;9830;12.5;0;1746;Java;5.991535671100363;2.0078597339782345;452.1426604100007;114196
YoKeyword/Fragmentation;https://github.com/YoKeyword/Fragmentation;9704;5.5;30;43;Java;5.2140350877192985;1.7017543859649122;62.80662474999999;8981
daniulive/SmarterStreaming;https://github.com/daniulive/SmarterStreaming;9681;5.5;0;1;Java;3.738372093023256;1.0465116279069768;13.637570590000001;10315
liaohuqiu/android-Ultra-Pull-To-Refresh;https://github.com/liaohuqiu/android-Ultra-Pull-To-Refresh;9673;6.8;8;49;Java;3.993827160493827;1.3950617283950617;20.74425736;5476
OpenAPITools/openapi-generator;https://github.com/OpenAPITools/openapi-generator;9630;3.3;42;5932;Java;5.069874476987447;1.3221757322175731;753.5310115790007;155377
ksoichiro/Android-ObservableScrollView;https://github.com/ksoichiro/Android-ObservableScrollView;9622;6.8;0;25;Java;5.0;1.9613095238095237;62.482702150000016;12621
alibaba/DataX;https://github.com/alibaba/DataX;9590;3.6;0;236;Java;4.537220843672457;2.0272952853598016;221.73049885199998;50603
janishar/mit-deep-learning-book-pdf;https://github.com/janishar/mit-deep-learning-book-pdf;9577;4.4;3;6;Java;0;0.5;0.0;2
apache/pulsar;https://github.com/apache/pulsar;9575;5.2;50;8157;Java;7.228659644024701;1.732110424990919;1175.8075392379997;352791
HarlonWang/AVLoadingIndicatorView;https://github.com/HarlonWang/AVLoadingIndicatorView;9553;5.9;1;24;Java;3.5268817204301075;1.7634408602150538;15.243864890000001;2161
macrozheng/mall-learning;https://github.com/macrozheng/mall-learning;9532;2.4;0;34;Java;4.708708708708708;1.1561561561561562;108.47987668000005;26676
pockethub/PocketHub;https://github.com/pockethub/PocketHub;9473;10.0;1;626;Java;6.544600938967136;1.4741784037558685;47.023916375999995;6980
wasabeef/glide-transformations;https://github.com/wasabeef/glide-transformations;9457;6.7;0;44;Java;5.357142857142857;2.0714285714285716;12.279257180000002;991
google/auto;https://github.com/google/auto;9393;8.3;51;727;Java;3.9914367269267363;1.7164605137963844;142.07070287499994;28480
react-native-camera/react-native-camera;https://github.com/react-native-camera/react-native-camera;9370;6.4;142;1041;Java;4.251121076233184;1.2152466367713004;47.27025114;12111
umano/AndroidSlidingUpPanel;https://github.com/umano/AndroidSlidingUpPanel;9322;8.3;8;167;Java;4.666666666666667;1.2777777777777777;3.23627244;2011
neo4j/neo4j;https://github.com/neo4j/neo4j;9291;8.8;72;9730;Java;7.382440476190476;1.4930555555555556;2591.445949726999;504783
