nameWithOwner;url;stars;age;releases;pullRequests;primaryLanguage;cbo;dit;lcom
fuzhengwei/itstack-demo-design;https://github.com/fuzhengwei/itstack-demo-design;3850;1.3;0;27;Java;2.1666666666666665;1.1018518518518519;38.24580311
javaparser/javaparser;https://github.com/javaparser/javaparser;3828;9.9;29;1504;Java;10.141643059490084;1.8594900849858358;335.7537982730001
ronmamo/reflections;https://github.com/ronmamo/reflections;3824;8.4;0;110;Java;2.299019607843137;1.1323529411764706;15.615879430000001
roboguice/roboguice;https://github.com/roboguice/roboguice;3822;9.1;0;72;Java;4.182853717026379;1.3117505995203838;320.6510189870005
apache/rocketmq-externals;https://github.com/apache/rocketmq-externals;3822;4.5;0;376;Java;5.21990171990172;1.2813267813267812;206.47664437999995
luckybilly/CC;https://github.com/luckybilly/CC;3811;3.8;0;31;Java;4.925619834710743;1.2479338842975207;21.635165649999998
orhanobut/hawk;https://github.com/orhanobut/hawk;3808;6.6;22;71;Java;3.4814814814814814;1.0;3.40189393
azkaban/azkaban;https://github.com/azkaban/azkaban;3808;8.9;48;1888;Java;6.83065198983912;1.4047417442845047;465.6838318020006
brianfrankcooper/YCSB;https://github.com/brianfrankcooper/YCSB;3799;11.4;55;705;Java;6.965957446808511;1.6212765957446809;92.15898847000003
bluelinelabs/Conductor;https://github.com/bluelinelabs/Conductor;3797;5.5;19;120;Java;5.413793103448276;1.3706896551724137;25.849451030000004
CalebFenton/simplify;https://github.com/CalebFenton/simplify;3792;7.7;9;19;Java;7.887820512820513;1.3974358974358974;95.78923588700005
Piasy/BigImageViewer;https://github.com/Piasy/BigImageViewer;3792;4.8;0;41;Java;4.482758620689655;1.264367816091954;14.84789567
bjmashibing/InternetArchitect;https://github.com/bjmashibing/InternetArchitect;3790;1.9;0;27;Java;4.8125;1.1519886363636365;163.84471689
zhaojun1998/zfile;https://github.com/zhaojun1998/zfile;3790;2.1;37;9;Java;6.260162601626016;1.5853658536585367;31.62935076
dreamhead/moco;https://github.com/dreamhead/moco;3783;8.9;0;67;Java;6.078651685393258;1.5393258426966292;104.67043984499999
brianway/java-learning;https://github.com/brianway/java-learning;3781;5.6;0;14;Java;1.1578249336870026;1.2851458885941645;37.73392896000001
MiguelCatalan/MaterialSearchView;https://github.com/MiguelCatalan/MaterialSearchView;3779;6.0;6;42;Java;3.9523809523809526;1.2857142857142858;4.45931995
chewiebug/GCViewer;https://github.com/chewiebug/GCViewer;3774;9.9;5;90;Java;5.173010380622838;2.169550173010381;88.76905561999999
Heeexy/SpringBoot-Shiro-Vue;https://github.com/Heeexy/SpringBoot-Shiro-Vue;3770;3.8;0;5;Java;5.571428571428571;1.3571428571428572;2.79999998
AntennaPod/AntennaPod;https://github.com/AntennaPod/AntennaPod;3770;9.1;39;2321;Java;7.963364993215739;1.4314789687924017;232.59262782499994
Freeyourgadget/Gadgetbridge;https://github.com/Freeyourgadget/Gadgetbridge;3768;6.7;0;380;Java;6.491494532199271;1.8323207776427703;460.88830186000035
oldmanpushcart/greys-anatomy;https://github.com/oldmanpushcart/greys-anatomy;3767;8.8;0;68;Java;4.049792531120332;1.1493775933609958;56.509501369999995
coobird/thumbnailator;https://github.com/coobird/thumbnailator;3753;6.1;0;8;Java;3.2215568862275448;1.1317365269461077;27.10653723699999
JZ-Darkal/AndroidHttpCapture;https://github.com/JZ-Darkal/AndroidHttpCapture;3734;4.9;1;1;Java;4.467084639498433;1.3887147335423198;100.67621410999999
