nameWithOwner;url;stars;age;releases;pullRequests;primaryLanguage
apache/rocketmq;https://github.com/apache/rocketmq;15280;4.8;3;1649;Java
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition;https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition;15039;8.8;0;116;Java
winterbe/java8-tutorial;https://github.com/winterbe/java8-tutorial;14998;7.5;0;41;Java
android10/Android-CleanArchitecture;https://github.com/android10/Android-CleanArchitecture;14945;7.1;0;57;Java
TeamNewPipe/NewPipe;https://github.com/TeamNewPipe/NewPipe;14890;6.0;107;1382;Java
openzipkin/zipkin;https://github.com/openzipkin/zipkin;14687;9.3;62;2108;Java
apache/shardingsphere;https://github.com/apache/shardingsphere;14497;5.6;44;7027;Java
lottie-react-native/lottie-react-native;https://github.com/lottie-react-native/lottie-react-native;14438;4.6;3;209;Java
LMAX-Exchange/disruptor;https://github.com/LMAX-Exchange/disruptor;14058;9.0;12;136;Java
lgvalle/Material-Animations;https://github.com/lgvalle/Material-Animations;13584;6.5;0;24;Java
dyc87112/SpringBoot-Learning;https://github.com/dyc87112/SpringBoot-Learning;13521;5.0;0;21;Java
alibaba/ARouter;https://github.com/alibaba/ARouter;13404;4.7;16;139;Java
Bigkoo/Android-PickerView;https://github.com/Bigkoo/Android-PickerView;12909;6.7;0;75;Java
Curzibn/Luban;https://github.com/Curzibn/Luban;12653;5.1;6;32;Java
medcl/elasticsearch-analysis-ik;https://github.com/medcl/elasticsearch-analysis-ik;12613;9.7;139;98;Java
iBotPeaches/Apktool;https://github.com/iBotPeaches/Apktool;12473;9.5;14;311;Java
greenrobot/greenDAO;https://github.com/greenrobot/greenDAO;12426;9.9;8;127;Java
justauth/JustAuth;https://github.com/justauth/JustAuth;12124;2.6;43;61;Java
eclipse/deeplearning4j;https://github.com/eclipse/deeplearning4j;12171;7.8;0;3916;Java
YunaiV/SpringBoot-Labs;https://github.com/YunaiV/SpringBoot-Labs;11815;3.0;0;15;Java
Netflix/zuul;https://github.com/Netflix/zuul;11266;8.5;5;582;Java
realm/realm-java;https://github.com/realm/realm-java;11186;9.4;0;3118;Java
jfeinstein10/SlidingMenu;https://github.com/jfeinstein10/SlidingMenu;11179;9.2;0;130;Java
androidannotations/androidannotations;https://github.com/androidannotations/androidannotations;11158;9.7;0;633;Java
apache/druid;https://github.com/apache/druid;11126;8.9;46;7538;Java
GoogleContainerTools/jib;https://github.com/GoogleContainerTools/jib;11115;3.6;129;2127;Java
Yalantis/uCrop;https://github.com/Yalantis/uCrop;10874;5.7;13;179;Java
sqshq/piggymetrics;https://github.com/sqshq/piggymetrics;10814;6.4;2;43;Java
williamfiset/Algorithms;https://github.com/williamfiset/Algorithms;10810;4.5;0;136;Java
alibaba/vlayout;https://github.com/alibaba/vlayout;10802;4.5;34;23;Java
LuckSiege/PictureSelector;https://github.com/LuckSiege/PictureSelector;10784;4.7;97;36;Java
zhisheng17/flink-learning;https://github.com/zhisheng17/flink-learning;10750;2.7;0;23;Java
Netflix/eureka;https://github.com/Netflix/eureka;10705;9.1;141;818;Java
android-async-http/android-async-http;https://github.com/android-async-http/android-async-http;10647;10.5;3;286;Java
pagehelper/Mybatis-PageHelper;https://github.com/pagehelper/Mybatis-PageHelper;10619;7.2;8;38;Java
antlr/antlr4;https://github.com/antlr/antlr4;10598;11.6;22;1474;Java
projectlombok/lombok;https://github.com/projectlombok/lombok;10522;12.2;3;374;Java
hyb1996/Auto.js;https://github.com/hyb1996/Auto.js;10441;4.6;0;42;Java
google/guice;https://github.com/google/guice;10413;7.3;14;413;Java
ben-manes/caffeine;https://github.com/ben-manes/caffeine;10395;6.7;55;105;Java
H07000223/FlycoTabLayout;https://github.com/H07000223/FlycoTabLayout;10386;5.8;4;22;Java
lipangit/JiaoZiVideoPlayer;https://github.com/lipangit/JiaoZiVideoPlayer;10385;5.6;78;72;Java
jeasonlzy/okhttp-OkGo;https://github.com/jeasonlzy/okhttp-OkGo;10372;5.6;14;19;Java
java-decompiler/jd-gui;https://github.com/java-decompiler/jd-gui;10354;6.5;18;52;Java
seaswalker/spring-analysis;https://github.com/seaswalker/spring-analysis;10327;5.0;0;12;Java
lingochamp/FileDownloader;https://github.com/lingochamp/FileDownloader;10292;5.7;65;66;Java
tbruyelle/RxPermissions;https://github.com/tbruyelle/RxPermissions;10230;5.9;11;75;Java
JakeWharton/ViewPagerIndicator;https://github.com/JakeWharton/ViewPagerIndicator;10230;10.1;0;149;Java
codecentric/spring-boot-admin;https://github.com/codecentric/spring-boot-admin;10180;7.1;59;430;Java
JessYanCoding/MVPArms;https://github.com/JessYanCoding/MVPArms;10103;5.1;25;70;Java
frank-lam/fullstack-tutorial;https://github.com/frank-lam/fullstack-tutorial;10034;3.4;0;27;Java
redis/jedis;https://github.com/redis/jedis;10030;11.2;49;1174;Java
keycloak/keycloak;https://github.com/keycloak/keycloak;9933;8.2;11;8418;Java
gyf-dev/ImmersionBar;https://github.com/gyf-dev/ImmersionBar;9844;4.4;0;8;Java
apache/zookeeper;https://github.com/apache/zookeeper;9819;12.4;0;1743;Java
YoKeyword/Fragmentation;https://github.com/YoKeyword/Fragmentation;9704;5.5;30;43;Java
aosp-mirror/platform_frameworks_base;https://github.com/aosp-mirror/platform_frameworks_base;9700;12.9;0;113;Java
daniulive/SmarterStreaming;https://github.com/daniulive/SmarterStreaming;9676;5.5;0;1;Java
liaohuqiu/android-Ultra-Pull-To-Refresh;https://github.com/liaohuqiu/android-Ultra-Pull-To-Refresh;9674;6.8;8;49;Java
ksoichiro/Android-ObservableScrollView;https://github.com/ksoichiro/Android-ObservableScrollView;9622;6.8;0;25;Java
OpenAPITools/openapi-generator;https://github.com/OpenAPITools/openapi-generator;9603;3.3;42;5916;Java
alibaba/DataX;https://github.com/alibaba/DataX;9577;3.6;0;234;Java
HarlonWang/AVLoadingIndicatorView;https://github.com/HarlonWang/AVLoadingIndicatorView;9550;5.9;1;24;Java
apache/pulsar;https://github.com/apache/pulsar;9549;5.2;50;8123;Java
macrozheng/mall-learning;https://github.com/macrozheng/mall-learning;9516;2.4;0;34;Java
pockethub/PocketHub;https://github.com/pockethub/PocketHub;9472;10.0;1;626;Java
wasabeef/glide-transformations;https://github.com/wasabeef/glide-transformations;9449;6.7;0;44;Java
google/auto;https://github.com/google/auto;9384;8.3;51;727;Java
react-native-camera/react-native-camera;https://github.com/react-native-camera/react-native-camera;9362;6.4;142;1041;Java
umano/AndroidSlidingUpPanel;https://github.com/umano/AndroidSlidingUpPanel;9323;8.3;8;167;Java
neo4j/neo4j;https://github.com/neo4j/neo4j;9284;8.8;72;9730;Java
googlesamples/easypermissions;https://github.com/googlesamples/easypermissions;9236;5.7;12;114;Java
thingsboard/thingsboard;https://github.com/thingsboard/thingsboard;9199;4.8;44;2183;Java
perwendel/spark;https://github.com/perwendel/spark;9154;10.3;0;517;Java
navasmdc/MaterialDesignLibrary;https://github.com/navasmdc/MaterialDesignLibrary;9120;6.9;3;92;Java
square/javapoet;https://github.com/square/javapoet;9119;8.6;0;468;Java
paascloud/paascloud-master;https://github.com/paascloud/paascloud-master;9088;3.5;0;26;Java
clojure/clojure;https://github.com/clojure/clojure;9082;11.2;0;88;Java
bilibili/DanmakuFlameMaster;https://github.com/bilibili/DanmakuFlameMaster;9058;8.1;5;63;Java
MyCATApache/Mycat-Server;https://github.com/MyCATApache/Mycat-Server;9044;6.8;7;1204;Java
grpc/grpc-java;https://github.com/grpc/grpc-java;9032;6.7;96;5793;Java
careercup/CtCI-6th-Edition;https://github.com/careercup/CtCI-6th-Edition;8990;6.2;0;160;Java
nathanmarz/storm;https://github.com/nathanmarz/storm;8940;10.0;0;304;Java
koral--/android-gif-drawable;https://github.com/koral--/android-gif-drawable;8919;8.6;55;128;Java
apereo/cas;https://github.com/apereo/cas;8916;10.0;191;3919;Java
pxb1988/dex2jar;https://github.com/pxb1988/dex2jar;8915;6.5;4;19;Java
chefyuan/algorithm-base;https://github.com/chefyuan/algorithm-base;8902;0.5;0;27;Java
termux/termux-app;https://github.com/termux/termux-app;8895;5.9;88;216;Java
hackware1993/MagicIndicator;https://github.com/hackware1993/MagicIndicator;8851;5.2;12;11;Java
lihengming/spring-boot-api-project-seed;https://github.com/lihengming/spring-boot-api-project-seed;8826;4.2;4;33;Java
chrisbanes/Android-PullToRefresh;https://github.com/chrisbanes/Android-PullToRefresh;8812;9.8;0;80;Java
zaproxy/zaproxy;https://github.com/zaproxy/zaproxy;8783;6.3;227;2647;Java
laobie/StatusBarUtil;https://github.com/laobie/StatusBarUtil;8691;5.6;0;12;Java
DuGuQiuBai/Java;https://github.com/DuGuQiuBai/Java;8648;5.8;0;16;Java
chrisjenx/Calligraphy;https://github.com/chrisjenx/Calligraphy;8625;7.7;4;98;Java
lzyzsd/JsBridge;https://github.com/lzyzsd/JsBridge;8625;6.5;0;34;Java
didi/VirtualAPK;https://github.com/didi/VirtualAPK;8519;4.2;4;32;Java
roughike/BottomBar;https://github.com/roughike/BottomBar;8452;5.5;4;139;Java
quarkusio/quarkus;https://github.com/quarkusio/quarkus;8443;3.2;137;11392;Java
TooTallNate/Java-WebSocket;https://github.com/TooTallNate/Java-WebSocket;8386;11.6;13;335;Java
OpenRefine/OpenRefine;https://github.com/OpenRefine/OpenRefine;8342;8.9;27;1788;Java
florent37/MaterialViewPager;https://github.com/florent37/MaterialViewPager;8225;6.4;11;35;Java
Justson/AgentWeb;https://github.com/Justson/AgentWeb;8222;4.3;16;14;Java
Blankj/awesome-java-leetcode;https://github.com/Blankj/awesome-java-leetcode;8200;4.4;0;15;Java
android/testing-samples;https://github.com/android/testing-samples;8194;6.9;0;199;Java
junit-team/junit4;https://github.com/junit-team/junit4;8188;12.7;13;876;Java
stanfordnlp/CoreNLP;https://github.com/stanfordnlp/CoreNLP;8136;8.2;4;216;Java
cats-oss/android-gpuimage;https://github.com/cats-oss/android-gpuimage;8070;8.9;0;132;Java
facebook/buck;https://github.com/facebook/buck;8036;8.4;56;1148;Java
dropwizard/dropwizard;https://github.com/dropwizard/dropwizard;8030;10.6;109;2844;Java
Activiti/Activiti;https://github.com/Activiti/Activiti;8010;9.0;27;1817;Java
asLody/VirtualApp;https://github.com/asLody/VirtualApp;8005;5.2;0;181;Java
ybq/Android-SpinKit;https://github.com/ybq/Android-SpinKit;7991;5.5;0;16;Java
alibaba/atlas;https://github.com/alibaba/atlas;7991;4.5;7;55;Java
crossoverJie/cim;https://github.com/crossoverJie/cim;7927;3.3;7;36;Java
HannahMitt/HomeMirror;https://github.com/HannahMitt/HomeMirror;7905;6.0;0;20;Java
amitshekhariitbhu/Android-Debug-Database;https://github.com/amitshekhariitbhu/Android-Debug-Database;7883;4.8;12;51;Java
ChrisRM/material-theme-jetbrains;https://github.com/ChrisRM/material-theme-jetbrains;7883;6.0;17;99;Java
newbee-ltd/newbee-mall;https://github.com/newbee-ltd/newbee-mall;7829;2.0;0;6;Java
firebase/quickstart-android;https://github.com/firebase/quickstart-android;7821;5.4;0;540;Java
MindorksOpenSource/android-interview-questions;https://github.com/MindorksOpenSource/android-interview-questions;7805;4.2;0;84;Java
Netflix/SimianArmy;https://github.com/Netflix/SimianArmy;7792;9.2;4;224;Java
jwtk/jjwt;https://github.com/jwtk/jjwt;7742;7.0;0;219;Java
guolindev/LitePal;https://github.com/guolindev/LitePal;7723;8.5;0;7;Java
JakeWharton/hugo;https://github.com/JakeWharton/hugo;7697;7.8;0;58;Java
trello/RxLifecycle;https://github.com/trello/RxLifecycle;7679;6.1;22;157;Java
hs-web/hsweb-framework;https://github.com/hs-web/hsweb-framework;7656;5.6;22;64;Java
square/moshi;https://github.com/square/moshi;7580;7.1;0;670;Java
airbnb/epoxy;https://github.com/airbnb/epoxy;7503;5.1;67;452;Java
kaushikgopal/RxJava-Android-Samples;https://github.com/kaushikgopal/RxJava-Android-Samples;7489;7.1;0;68;Java
dropwizard/metrics;https://github.com/dropwizard/metrics;7419;11.5;70;1530;Java
OpenFeign/feign;https://github.com/OpenFeign/feign;7392;8.2;20;697;Java
aritraroy/UltimateAndroidReference;https://github.com/aritraroy/UltimateAndroidReference;7365;4.4;0;105;Java
macrozheng/mall-swarm;https://github.com/macrozheng/mall-swarm;7322;1.8;1;17;Java
google/agera;https://github.com/google/agera;7295;5.7;16;125;Java
square/dagger;https://github.com/square/dagger;7276;9.1;0;293;Java
react-native-image-picker/react-native-image-picker;https://github.com/react-native-image-picker/react-native-image-picker;7273;6.3;83;394;Java
Bearded-Hen/Android-Bootstrap;https://github.com/Bearded-Hen/Android-Bootstrap;7236;7.8;5;70;Java
cymcsg/UltimateRecyclerView;https://github.com/cymcsg/UltimateRecyclerView;7231;6.6;9;109;Java
resilience4j/resilience4j;https://github.com/resilience4j/resilience4j;7225;6.3;29;681;Java
apache/shardingsphere-elasticjob;https://github.com/apache/shardingsphere-elasticjob;7219;6.0;26;899;Java
lecho/hellocharts-android;https://github.com/lecho/hellocharts-android;7211;6.9;14;45;Java
pedant/sweet-alert-dialog;https://github.com/pedant/sweet-alert-dialog;7205;6.9;2;28;Java
JakeWharton/ActionBarSherlock;https://github.com/JakeWharton/ActionBarSherlock;7177;10.5;32;253;Java
