nameWithOwner;url;star;age;lastUpdate;releases;issuesOpen;issuesClosed;issuesProportion;pullRequests;primaryLanguage
donnemartin/interactive-coding-challenges;https://github.com/donnemartin/interactive-coding-challenges;23549;2314;0;0;31;29;1.0689655172413792;176;Python
google/googletest;https://github.com/google/googletest;23542;2224;0;3;167;1621;0.10302282541640963;685;C++
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers;https://github.com/CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers;23527;3149;0;0;140;86;1.627906976744186;236;Jupyter Notebook
0xAX/linux-insides;https://github.com/0xAX/linux-insides;23499;2429;0;0;41;131;0.31297709923664124;537;Python
realpython/python-guide;https://github.com/realpython/python-guide;23497;3820;0;0;86;173;0.49710982658959535;675;Batchfile
ajaxorg/ace;https://github.com/ajaxorg/ace;23485;3959;0;0;764;1890;0.4042328042328042;1387;JavaScript
goabstract/Awesome-Design-Tools;https://github.com/goabstract/Awesome-Design-Tools;23354;929;0;0;1;25;0.04;283;JavaScript
CodeHubApp/CodeHub;https://github.com/CodeHubApp/CodeHub;23347;2958;0;4;234;407;0.5749385749385749;13;C#
codemirror/CodeMirror;https://github.com/codemirror/CodeMirror;23340;3880;0;150;405;3569;0.11347716447184085;519;JavaScript
acmesh-official/acme.sh;https://github.com/acmesh-official/acme.sh;23339;2073;0;33;633;1487;0.425689307330195;1028;Shell
GoogleChrome/lighthouse;https://github.com/GoogleChrome/lighthouse;23318;2000;0;73;511;7383;0.06921305702289042;3862;JavaScript
jgm/pandoc;https://github.com/jgm/pandoc;23313;4179;0;100;693;5194;0.1334231805929919;1173;Haskell
ageron/handson-ml;https://github.com/ageron/handson-ml;23287;2020;0;0;118;419;0.28162291169451076;48;Jupyter Notebook
rstacruz/nprogress;https://github.com/rstacruz/nprogress;23263;2931;0;7;92;47;1.9574468085106382;34;JavaScript
docker/compose;https://github.com/docker/compose;23259;2820;0;151;448;5104;0.0877742946708464;2034;Python
JedWatson/react-select;https://github.com/JedWatson/react-select;23241;2560;0;23;143;2952;0.04844173441734417;904;TypeScript
ycm-core/YouCompleteMe;https://github.com/ycm-core/YouCompleteMe;23201;3422;1;0;29;3015;0.009618573797678276;682;Python
terryum/awesome-deep-learning-papers;https://github.com/terryum/awesome-deep-learning-papers;23182;1913;0;0;15;11;1.3636363636363635;39;TeX
xkcoding/spring-boot-demo;https://github.com/xkcoding/spring-boot-demo;23138;1388;0;0;65;69;0.9420289855072463;14;Java
denysdovhan/wtfjs;https://github.com/denysdovhan/wtfjs;23099;1507;0;17;3;85;0.03529411764705882;83;JavaScript
Automattic/mongoose;https://github.com/Automattic/mongoose;23095;4162;0;5;283;8402;0.03368245655796239;1380;JavaScript
SortableJS/Sortable;https://github.com/SortableJS/Sortable;23054;2810;0;23;316;1253;0.25219473264166004;237;JavaScript
akveo/ngx-admin;https://github.com/akveo/ngx-admin;22974;1922;0;16;368;1296;0.2839506172839506;320;TypeScript
poteto/hiring-without-whiteboards;https://github.com/poteto/hiring-without-whiteboards;22967;1628;0;0;0;0;None;994;JavaScript
afollestad/material-dialogs;https://github.com/afollestad/material-dialogs;18969;2491;0;92;91;1161;0.07838070628768304;179;Kotlin
dnSpy/dnSpy;https://github.com/dnSpy/dnSpy;18911;2251;0;1;0;0;None;53;C#
felixrieseberg/windows95;https://github.com/felixrieseberg/windows95;18910;1102;0;12;105;93;1.1290322580645162;17;TypeScript
goldfire/howler.js;https://github.com/goldfire/howler.js;18884;3135;0;24;253;1016;0.24901574803149606;124;JavaScript
parse-community/parse-server;https://github.com/parse-community/parse-server;18883;2039;0;83;166;3814;0.043523859465128475;2762;JavaScript
highlightjs/highlight.js;https://github.com/highlightjs/highlight.js;18864;3892;0;28;52;1664;0.03125;1162;JavaScript
ClickHouse/ClickHouse;https://github.com/ClickHouse/ClickHouse;18846;1914;0;282;1429;7502;0.19048253798986936;16105;C++
libgdx/libgdx;https://github.com/libgdx/libgdx;18836;3305;0;8;150;3237;0.04633920296570899;2302;Java
uglide/RedisDesktopManager;https://github.com/uglide/RedisDesktopManager;18836;2946;0;76;34;4405;0.007718501702610669;361;C++
onevcat/Kingfisher;https://github.com/onevcat/Kingfisher;18825;2337;0;154;63;1057;0.059602649006622516;509;Swift
MustangYM/WeChatExtension-ForMac;https://github.com/MustangYM/WeChatExtension-ForMac;18802;857;0;46;711;753;0.9442231075697212;45;Objective-C
jhipster/generator-jhipster;https://github.com/jhipster/generator-jhipster;18764;2868;0;12;52;6537;0.007954719290194279;8461;JavaScript
zhaoolee/ChromeAppHeroes;https://github.com/zhaoolee/ChromeAppHeroes;18722;934;0;0;14;29;0.4827586206896552;7;JavaScript
sharkdp/fd;https://github.com/sharkdp/fd;18690;1572;0;25;38;480;0.07916666666666666;257;Rust
vercel/pkg;https://github.com/vercel/pkg;18666;1846;0;30;103;993;0.10372608257804633;115;JavaScript
jorgebucaran/hyperapp;https://github.com/jorgebucaran/hyperapp;18645;1682;0;26;3;564;0.005319148936170213;270;JavaScript
ftlabs/fastclick;https://github.com/ftlabs/fastclick;18626;3485;0;3;211;181;1.1657458563535912;67;HTML
judasn/IntelliJ-IDEA-Tutorial;https://github.com/judasn/IntelliJ-IDEA-Tutorial;18571;2204;0;0;0;74;0.0;39;None
verekia/js-stack-from-scratch;https://github.com/verekia/js-stack-from-scratch;18564;1792;0;1;39;118;0.3305084745762712;55;JavaScript
vercel/swr;https://github.com/vercel/swr;18563;670;0;50;45;406;0.11083743842364532;389;TypeScript
davideuler/architecture.of.internet-product;https://github.com/davideuler/architecture.of.internet-product;18518;1217;0;0;8;3;2.6666666666666665;1;None
Prinzhorn/skrollr;https://github.com/Prinzhorn/skrollr;18506;3451;0;0;243;533;0.45590994371482174;35;HTML
